ID,Fecha,Evento,Tipo,Descripción,Región,Provincia,Distrito,Muertos,Latitud,Longitud,Url_imagen,Url_externo
13,2 de enero de 1983,Asesinato de un teniente alcalde acciopopulista,Asesinato,"Sendero Luminoso asesina al teniente alcalde de Huamanga, Ayacucho, Víctor Raul Tapahuasco, del partido Acción Popular.",Ayacucho,,,1,-13.160858,-74.225144,,
14,8 de enero de 1983,Explosivos en la ciudad de Ayacucho,Atentado,Sendero Luminoso llama a la población ayacuchana a realizar un paro de 24 horas. Detonan explosivos en el mercado y la Plaza de Armas de Ayacucho. Se reparten volantes.,Ayacucho,Huamanga,Ayacucho,0,-13.160361,-74.225889,,
15,3 de abril de 1983,Masacre de Lucanamarca,Masacre,"Un contingente de 60 militantes de Sendero Luminoso irrumpió en la provincia de Huanca Sancos, en los pueblos de Yanaccollpa, Ataccara, Llacchua, Muylacruz y Lucanamarca, en el Departamento de Ayacucho, matando a 69 campesinos. La mayoría de las víctimas murieron por heridas de machete y hacha, y algunos recibieron disparos a corta distancia en la cabeza.Los miembros de Sendero Luminoso también quemaron a los pobladores con agua hirviendo. Fue la primera masacre del senderismo contra una comunidad campesina, al parecer en represalia porque unos ronderos lincharon a un terrorista en Lucanamarca.",Ayacucho,Huanca Sancos,Santiago de Lucanamarca,69,-13.843556,-74.372278,https://d1ts5g4ys243sh.cloudfront.net/proyectos_especiales_prod/especiales/principales-atentados-sendero-luminoso-ecpm/img/lucanamarca-3.jpg,https://www.youtube.com/watch?v=6890LwpDUl4
16,21 de mayo de 1983,Asesinato en Canchacancha,Asesinato,"Un grupo conformado por más de 100 militantes del PCP-Sendero Luminoso incursionó en Canchacancha profiriendo gritos alusivos a la “lucha armada”, realizando disparos con armas de fuego, lanzando explosivos y amenazando con destruir la comunidad sino se producía una inmediata rendición. Además de incendiar gran parte del lugar, los subversivos asesinaron a 5 personas y causaron serias lesiones a otras 4.",Ayacucho,Cangallo,Chuschi,5,-13.605833,-74.313167,https://cedoc.sisbib.unmsm.edu.pe/public/img/biblioteca_digital/coleccion_documental/portadas_individuales/149.jpg,https://www.cverdad.org.pe/ifinal/pdf/TOMO%20VII/Casos%20Ilustrativos-UIE/2.4.%20CANCHA%20CANCHA.pdf
17,21 de mayo de 1983,Batalla en Sacsamarca,Batalla,"A inicios de 1983, Sendero Luminoso había tomado control de la zona sur del departamento y arrasó contra Huanca Sancos y Lucanamarca, vecinas de Sacsamarca. El 20 de mayo de 1983, cuatro policías llegaron a esa jurisdicción, aunque no como parte de un plan, y las autoridades les rogaron que se quedaran porque no había un puesto policial. Los comuneros les prepararon una cena y, al día siguiente, los agentes seguirían su ruta, pero al amanecer, Víctor Auccasi, un vecino de la zona alta, llegó corriendo a la plaza, herido, casi desnudo, lleno de miedo, para avisar de que unos 200 subversivos estaban en su estancia, en las alturas, a punto de atacar al pueblo. Entonces, ocurrió una batalla de varias horas en la que murieron en combate 10 miembros de la comunidad.",Ayacucho,Huanca Sancos,Sacsamarca,10,-13.942811, -74.312550,https://cdn01.pucp.education/idehpucp/wp-content/uploads/2018/05/23151903/jfowks_sacsamarca_21mayo2018-599x427.jpeg,https://idehpucp.pucp.edu.pe/notas-informativas/sacsamarca-recuerda-la-batalla-que-gano-hace-35-anos-a-sendero-luminoso/
18,10 de noviembre de 1983,Asesinato en Cabana,Asesinato,"En Cabana, Lucanamarca, provincia de Ayacucho, ocho profesores son asesinados por Sendero Luminoso. Según versiones obtenidas por testigos de la masacre, los profesores fueron sacados de sus casas y llevados a la plaza pública, donde fueron asesinados delante de los pobladores.",Ayacucho,Cabana,Lucanas,8,-14.288611,-73.967111,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/656.jpg,https://lum.cultura.pe/cdi/periodico/confirman-asesinato-de-8-profesores-por-senderistas
19,16 de julio de 1984,Masacre de Soras,Masacre,"Sendero Luminoso consumó la mayor masacre de su historia, asesinando a 117 personas, entre hombres, mujeres y niños, Tras apoderarse del bus y asesinar a los pasajeros, los senderistas continuaron con la ruta habitual de la empresa de transportes, pasando por las localidades de Challapuquio, Badopampa, Doce Corral, Chaupihuasi y Tranca. En cada parada, los senderistas fueron asesinando a diferentes personas, cuyos nombres estaban en una lista, hasta llegar a Soras. Al llegar a Soras iniciaron la matanza contra las autoridades comunales que se encontraban en la plaza principal, En la pared del municipio dejaron escrito con sangre que decía “Así mueren los soplones”. Esta acción terrorista fue en represalia a la decisión de las autoridades campesinas de Soras, Larcay, Matarca, Atihuara, Paucaray, Paico, Sihue y Llancca, quienes acordaron enfrentar juntos a este grupo terrorista que atentaba contra sus comunidades y ponía en riesgo la tranquilidad de su población.",Ayacucho,Sucre,Soras,117,-14.114582,-73.604112,https://cdn01.pucp.education/idehpucp/wp-content/uploads/2022/07/19113248/imagen_2022-07-19_063244840.png,https://idehpucp.pucp.edu.pe/analisis1/soras-38-anos-de-heridas-abiertas/
20,25 de diciembre de 1984,Masacre de Navidad,Masacre,"El 25 de diciembre de 1984 Sendero Luminoso asesino a 40 personas en la comunidad indígena de Putka, más de la mitad de ellos niños, murieron asesinados en una cueva.",Ayacucho,Huanta,Santillana,40,-12.752358,-74.247816,https://img.europapress.es/fotoweb/fotonoticia_20190930160032-1252049_640.jpg,https://www.europapress.es/internacional/noticia-victimas-masacre-navidad-peru-descansan-finalmente-paz-20190930160032.html
21,1 de enero de 1985,Ataque a puesto policial de la Concepción,Ataque,Un grupo de senderistas atacaron el puesto policial del distrito de Concepción e hirieron de gravedad a dos policías.,Ayacucho,Vilcashuamán,Concepción,0,	-13.53278,-73.875097,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/127_0.jpg,https://lum.cultura.pe/cdi/periodico/100-terroristas-atacan-comisaria
22,13 de agosto de 1985,Toma del colegio Gonzales Vigil,Toma,"Durante la madrugada, un grupo de 20 senderistas tomaron por asalto el colegio estatal “Gonzales Vigil”. Luego de maniatar a los tres guardianes del local, pintaron las paredes con lemas subversivos dirigido a los del Ejército y la Marina",Ayacucho,Huanta,Huanta,0,	-12.939722,-74.2475,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/1055.jpg,https://lum.cultura.pe/cdi/periodico/terroristas-tomaron-un-colegio-ayacucho
23,16 de febrero de 1987,Asesinato en Pampacancha,Asesinato,"Cerca de cincuenta senderistas disfrazados con uniformes de infantes de Marina atacaron la comunidad de Pampacancha durante la madrugada. Ingresaron a los domicilios y obligaron a los habitantes a presenciar un ""juicio popular"" en contra de cuatro campesinos, quienes fueron asesinados.",Ayacucho,Huanta,Huanta,4,	-12.939722,-74.2475,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/001641_0.jpg,https://lum.cultura.pe/cdi/periodico/vestidos-de-marinos-matan-4-campesinos-0
24,17 de febrero de 1987,Masacre en la comunidad de Roqchas,Masacre,"20 miembros del PCP-SL entraron a la casa de Alfonso Condemayta, lo interrogaron y lo golpearon hasta matarlo. Quemaron las casas vecinas y luego volvieron para quemar la casa de la víctima. Sin embargo, uno de los senderistas ordenó apagar el fuego y amenazó a la esposa de la víctima para que no dijera nada. Se retiraron dando vivas a la lucha armada, llevándose pertenencias y ganado. Esa misma noche, 150 miembros del PCP-SL entraron a la comunidad dando muerte a varios pobladores. ",Ayacucho,La Mar,San Miguel,15,-13.013638,-73.980659,https://lum.cultura.pe/cdi/periodico/terroristas-matan-8-campesinos,https://lum.cultura.pe/cdi/periodico/terroristas-matan-8-campesinos
25,3 de marzo de 1987,Apagón y explosivos en Ayacucho,Apagón,Miembros del PCP-SL celebraron el quinto aniversario del asalto a la cárcel de Ayacucho causando apagón y lanzando explosivos en diferentes áreas de la ciudad.,Ayacucho,Huamanga,Ayacucho,0,-13.163056,-74.224444,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/001850.jpg,https://cedoc.sisbib.unmsm.edu.pe/public/pdf/gorriti/Subfondo_%20VOLANTES/Serie_%20VOLANTES%20POL%C3%8DTICO-MILITARES/2.3.44.pdf
26,14 de abril de 1987,Apagón previo a Semana Santa,Apagón,"En la madrugrada, senderistas derribaron torres de alta tensión emplenado una sierra eléctrica y dejaron en tinieblas a Ayacucho y Huanta previo a las celebraciones de Semana Santa.",Ayacucho,Huamanga,Ayacucho,0,-13.160361,-74.225889,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/002286b.jpg,https://lum.cultura.pe/cdi/periodico/vuelan-torres-y-dejan-en-tinieblas-ayacucho-y-huanta
27,19 de marzo de 1987,Asesinato de Alfredo Mendoza Salazar,Asesinato,"Cuatro miembros del PCP-SL ingresaron al colegio secundario de menores de San Ramón, amenazaron de muerte a la secretaria y asesinaron al director del plantel Alfredo Mendoza Salazar. En el lugar los senderistas dejaron un cartel con la siguiente inscripción: <<así mueren los apristas, por cada prisionero de guerra asesinado en el Frontón, Lurigancho, moriran 10 apristas. ¡Viva el presiente Gonzalo!¡viva el PCP!. Desarrollar la guerra popular sirviendo a la revolución mundial. ¡Resistencia y heroicidad! ¡Alan genocida, facista, corporativo, reaccionario pro imperialista!>>",Ayacucho,Huamanga,Ayacucho,1,-13.160278,-74.225833,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/001987a1-1.jpg ,https://lum.cultura.pe/cdi/periodico/presuntos-sediciosos-asesinan-director-de-cen-ayacuchano
28,15 de abril de 1987,Asesinato del acalde Andrés Porras,Asesinato,"En el distrito de Iguain, mientras regresaba a Macachacra, Andrés Porras Mallqui, alcalde de este distrito por el APRA, fue asesinado por presuntos miembros del PCP-SL. El asesinato ocurrió en el lugar denominado Huayhuas, en la carretera Huanta-Masachacra, camino por el que transitaba la víctima.",Ayacucho,Huanta,Iguaín,1,-12.992694,-74.208778,https://pbs.twimg.com/media/Ftx9Ej-XsAAAKNI?format=jpg&name=large,https://lum.cultura.pe/cdi/periodico/secuestran-y-asesinan-alcalde-pap
29,3 de agosto de 1987,Burro bomba en Macachacra,Atentado,"Un burro-bomba explota en la Plaza de Armas de la localidad de Macachacra, Huanta, en Ayacucho, en momentos en que se realizaba el izamiento del pabellón nacional.",Ayacucho,Huanta,Iguaín,0,-12.992694,-74.208778,,
30,13 de agosto de 1987,Asesinato en Vilcashuamán a burócratas,Asesinato,"En Vilcashuamán, asesinan al asesor legal del Ministerio de Agricultura, Arturo Morales, y al jefe del Centro Médico, Demetrio Noga.",Ayacucho,Vilcashuamán,,1,-13.653098,-73.953890,,
31,6 de septiembre de 1987,Asesinato en Viracochan,Asesinato,"Asesinan a 22 campesinos en el poblado de Viracochan, Huanta en Ayacucho",Ayacucho,Huanta,Ayahuanco,22,-12.594055,-74.330183,,
32,8 de septiembre de 1987,Asesinato en San José de Secce,Asesinato,"En el poblado de San José de Secce, Huanta, asesinan a 15 pobladores ""por no colaborar"" con Sendero Luminoso.",Ayacucho,Huanta,Santillana,15,-12.766156,-74.252912,,
33,10 de diciembre de 1987,Asesinato en Chilcas,Asesinato,"En la madrugada del jueves 10 de diciembre y vestidos con el unifore del Ejército, miembros de Sendero Luminoso asesinaron a más de 23 personas, entre ellos a autoridades, al lider de la ronda campesina del pueblo Rumi-Rumi, al lider de la asociación de padres de famila y a diversas personas. Luego de despertador a la comunidad, los juntaron en la plaza principal y llevaron a un grupo al colegio de la zona, donde terminarían siendo asesinados.  Además de las muertes, los senderistas saquearon viviendas y mataron a vairos animales como carneros y gallinas.",Ayacucho,La Mar,Chilcas,23+,-13.1684564,-73.8487876,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/87-0057c.jpg,https://lum.cultura.pe/cdi/periodico/senderistas-asesinaron-25-personas-en-la-mar
34,10 de septiembre de 1987,Asesinato en Valle de San Francisco,Asesinato,"Un grupo de senderistas incursiona en la Valle de San Francisco, La Mar (Ayacucho), y mata a 5 campesinos.",Ayacucho,La Mar,Ayna,5,-12.628230,-73.787625,,
35,11 de diciembre de 1989,Masacre en Pacchas,Masacre,"En la madrugada del 11 de diciembre de 1989 un grupo de aproximadamente 200 senderistas irrumpió en Paccha. Los miembros de la columna ingresaron a las viviendas de los comuneros, atando a los hombres de la comunidad, golpeándolos y conduciéndolos a la plaza, sin atender a las súplicas de las mujeres y los niños. El presidente de la comunidad, Esteban Chumbez López, Faustino Jayo López y Julián Blas López fueron humillados, torturados y asesinados, al igual que al menos otras diecinueve personas.",Ayacucho,Huamanga,Vichos,22,-13.207750,-74.407306,https://lum.cultura.pe/cdi/sites/default/files/styles/margen_derecha/public/fotografia/fotos/0102011101003-min.jpg?itok=Nc9dXMeU,https://www.youtube.com/watch?v=AF3SxealY6g
